Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,18-Nov-21,13,13.05,13.05,12.8,12.85,12.85,-1.20%,12.88,"5,95,37,598","76,69,55,504.30","1,11,649","2,80,20,683",47.06
YESBANK,EQ,22-Nov-21,12.85,12.85,12.9,12.5,12.55,12.55,-2.30%,12.67,"8,46,12,273","1,07,16,54,653.20","1,21,708","4,19,46,429",49.57
YESBANK,EQ,23-Nov-21,12.55,12.55,12.7,12.45,12.55,12.55,0.00%,12.57,"6,97,74,910","87,69,77,215.45","98,227","3,21,69,826",46.11
YESBANK,EQ,24-Nov-21,12.55,12.6,12.95,12.45,12.6,12.6,0.40%,12.7,"6,14,41,021","78,00,86,390.50","79,331","2,26,34,504",36.84
YESBANK,EQ,25-Nov-21,12.6,12.6,12.8,12.55,12.75,12.75,1.20%,12.68,"4,91,58,856","62,32,67,776.85","83,724","1,95,00,798",39.67
YESBANK,EQ,26-Nov-21,12.75,12.65,12.7,12.4,12.5,12.45,-2.40%,12.51,"7,42,33,939","92,86,57,433.55","1,13,096","3,40,47,069",45.86
YESBANK,EQ,29-Nov-21,12.45,12.35,12.45,12.15,12.2,12.15,-2.40%,12.26,"6,87,76,074","84,30,00,176.00","1,10,774","3,21,69,695",46.77
YESBANK,EQ,30-Nov-21,12.15,12.15,12.95,12.1,12.2,12.4,2.10%,12.49,"18,76,90,847","2,34,39,90,409.70","1,11,360","6,36,18,423",33.9
YESBANK,EQ,01-Dec-21,12.4,12.25,12.7,12.15,12.55,12.45,0.40%,12.42,"11,14,30,763","1,38,34,99,811.55","99,942","3,97,88,794",35.71
YESBANK,EQ,02-Dec-21,12.45,12.6,12.7,12.5,12.65,12.6,1.20%,12.6,"4,28,57,712","53,98,72,704.05","75,352","1,73,35,632",40.45
YESBANK,EQ,03-Dec-21,12.6,12.65,12.7,12.5,12.5,12.55,-0.40%,12.6,"5,97,08,926","75,22,87,278.95","74,292","1,94,12,314",32.51
