Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,01-Apr-21,15.6,15.65,15.85,15.35,15.75,15.7,0.60%,15.64,"9,31,96,660","1,45,77,70,484.55","72,805","2,79,68,799",30.01
YESBANK,EQ,05-Apr-21,15.7,15.85,15.95,15.2,15.55,15.5,-1.30%,15.54,"8,30,64,018","1,29,12,20,605.05","80,377","2,90,34,327",34.95
YESBANK,EQ,06-Apr-21,15.5,15.65,15.85,15.5,15.65,15.6,0.60%,15.65,"5,98,08,985","93,59,12,103.60","50,488","2,17,75,100",36.41
YESBANK,EQ,07-Apr-21,15.6,15.6,15.7,15.4,15.6,15.6,0.00%,15.59,"5,04,97,122","78,71,06,203.25","48,659","1,95,20,012",38.66
YESBANK,EQ,08-Apr-21,15.6,15.65,15.7,15.5,15.55,15.55,-0.30%,15.6,"4,51,04,506","70,37,26,373.55","53,545","2,09,60,350",46.47
YESBANK,EQ,09-Apr-21,15.55,15.55,15.65,15.4,15.45,15.45,-0.60%,15.52,"4,05,65,587","62,95,22,658.80","43,740","1,71,96,191",42.39
YESBANK,EQ,12-Apr-21,15.45,15.2,15.25,14.4,14.55,14.45,-6.50%,14.67,"12,37,08,161","1,81,43,85,497.65","1,10,054","5,08,13,599",41.08
YESBANK,EQ,13-Apr-21,14.45,14.4,14.75,14.3,14.65,14.7,1.70%,14.59,"7,95,42,179","1,16,05,66,403.55","76,417","2,24,13,391",28.18
YESBANK,EQ,15-Apr-21,14.7,14.7,14.7,14.4,14.55,14.55,-1.00%,14.5,"5,83,23,051","84,57,62,818.45","65,644","2,54,80,184",43.69
YESBANK,EQ,16-Apr-21,14.55,14.55,14.8,14.45,14.55,14.6,0.30%,14.63,"6,53,24,005","95,59,62,152.20","50,080","1,64,47,930",25.18
YESBANK,EQ,19-Apr-21,14.6,14.2,14.3,14.05,14.2,14.2,-2.70%,14.17,"7,50,69,350","1,06,34,62,973.50","85,260","3,14,91,271",41.95
YESBANK,EQ,20-Apr-21,14.2,14.3,14.35,14,14.05,14.05,-1.10%,14.15,"7,99,98,707","1,13,23,65,334.00","82,254","3,56,50,520",44.56
YESBANK,EQ,22-Apr-21,14.05,14,14.2,13.9,14.05,14.05,0.00%,14.07,"6,51,05,485","91,57,21,743.25","66,080","3,00,78,542",46.2
YESBANK,EQ,23-Apr-21,14.05,14,14.15,13.9,14,14,-0.40%,14.04,"8,94,75,097","1,25,65,85,650.15","69,237","3,30,35,506",36.92
YESBANK,EQ,26-Apr-21,14,14.05,14.2,14,14.05,14.05,0.40%,14.1,"7,30,16,298","1,02,93,95,913.95","57,597","2,60,77,828",35.72
YESBANK,EQ,27-Apr-21,14.05,14.05,15.05,14,14.75,14.75,5.00%,14.66,"12,75,45,345","1,87,03,40,791.95","69,100","4,49,37,278",35.23
YESBANK,EQ,28-Apr-21,14.75,14.8,15.05,14.75,14.8,14.8,0.30%,14.86,"8,13,87,698","1,20,96,08,308.10","51,245","2,93,60,886",36.08
YESBANK,EQ,29-Apr-21,14.8,14.95,15.15,14.35,14.55,14.5,-2.00%,14.66,"13,55,59,239","1,98,79,58,368.25","72,146","4,47,74,963",33.03
YESBANK,EQ,30-Apr-21,14.5,14.5,14.8,14.4,14.6,14.55,0.30%,14.65,"9,83,65,622","1,44,10,80,167.95","51,300","3,47,29,592",35.31
YESBANK,EQ,03-May-21,14.55,12.85,14,12.85,13.95,13.9,-4.50%,13.72,"24,89,97,751","3,41,72,26,106.65","1,63,715","7,52,51,974",30.22
YESBANK,EQ,04-May-21,13.9,14,14.15,13.8,13.85,13.85,-0.40%,14,"10,44,31,586","1,46,15,39,827.65","72,789","3,83,72,317",36.74
YESBANK,EQ,05-May-21,13.85,13.95,14.05,13.8,13.85,13.85,0.00%,13.89,"5,55,91,203","77,24,05,750.90","57,610","2,15,17,691",38.71
YESBANK,EQ,06-May-21,13.85,13.9,13.9,13.5,13.6,13.55,-2.20%,13.59,"12,26,61,349","1,66,66,00,248.00","93,612","5,55,34,118",45.27
